iter	Passed	Remaining
853	49521	55030
854	49598	54993
855	49692	54974
856	49786	54956
857	49879	54937
858	49955	54898
859	50033	54862
860	50109	54823
861	50188	54788
862	50278	54764
863	50350	54721
864	50436	54693
865	50515	54657
866	50609	54637
867	50692	54605
868	50778	54576
869	50856	54538
870	50934	54501
871	51013	54464
872	51094	54430
873	51165	54384
874	51237	54340
875	51305	54292
876	51376	54246
877	51454	54208
878	51521	54159
879	51611	54133
880	51690	54095
881	51770	54060
882	51845	54017
883	51923	53979
884	52022	53962
885	52103	53926
886	52196	53903
887	52290	53880
888	52383	53856
889	52473	53829
890	52553	53791
891	52632	53753
892	52708	53711
893	52795	53681
894	52876	53644
895	52956	53606
896	53046	53579
897	53139	53553
898	53222	53518
899	53304	53482
900	53373	53432
901	53442	53383
902	53509	53331
903	53576	53279
904	53651	53236
905	53730	53196
906	53806	53153
907	53887	53115
908	53961	53070
909	54035	53025
910	54114	52986
911	54198	52950
912	54293	52925
913	54379	52891
914	54447	52840
915	54510	52784
916	54581	52736
917	54666	52701
918	54749	52664
919	54828	52623
920	54905	52580
921	54990	52544
922	55071	52505
923	55141	52455
924	55220	52415
925	55290	52365
926	55363	52318
927	55440	52273
928	55523	52235
929	55602	52194
930	55671	52143
931	55744	52095
932	55807	52039
933	55879	51990
934	55947	51937
935	56015	51886
936	56092	51842
937	56170	51798
938	56239	51747
939	56317	51703
940	56396	51661
941	56479	51622
942	56554	51576
943	56627	51528
944	56708	51488
945	56805	51461
946	56886	51420
947	56967	51378
948	57044	51334
949	57128	51295
950	57205	51250
951	57289	51211
952	57366	51166
953	57446	51123
954	57532	51086
955	57604	51036
956	57677	50987
957	57756	50943
958	57845	50908
959	57913	50855
960	57987	50806
961	58051	50750
962	58113	50691
963	58184	50639
964	58259	50592
965	58340	50549
966	58420	50506
967	58510	50471
968	58606	50441
969	58698	50407
970	58792	50376
971	58884	50342
972	58968	50301
973	59035	50246
974	59111	50198
975	59205	50167
976	59304	50138
977	59384	50093
978	59468	50052
979	59539	50000
980	59612	49950
981	59688	49902
982	59768	49857
983	59849	49813
984	59926	49766
985	59998	49715
986	60081	49672
987	60153	49620
988	60222	49566
989	60285	49506
990	60362	49459
991	60459	49428
992	60543	49385
993	60625	49342
994	60693	49286
995	60780	49246
996	60852	49195
997	60925	49143
998	60999	49093
999	61068	49038
1000	61149	48992
1001	61228	48946
1002	61294	48888
1003	61370	48839
1004	61448	48791
1005	61534	48750
1006	61628	48715
1007	61705	48666
1008	61777	48614
1009	61857	48567
1010	61930	48515
1011	62014	48471
1012	62088	48420
1013	62167	48372
1014	62242	48321
1015	62316	48270
1016	62394	48222
1017	62472	48173
1018	62535	48113
1019	62598	48053
1020	62672	48001
1021	62750	47953
1022	62828	47904
1023	62912	47859
1024	62988	47809
1025	63067	47761
1026	63162	47725
1027	63241	47677
1028	63307	47619
1029	63380	47565
1030	63448	47509
1031	63525	47459
1032	63587	47398
1033	63674	47355
1034	63747	47302
1035	63825	47252
1036	63904	47204
1037	63977	47151
1038	64048	47096
1039	64123	47044
1040	64212	47002
1041	64289	46952
1042	64366	46901
1043	64461	46864
1044	64539	46814
1045	64619	46765
1046	64694	46713
1047	64770	46661
1048	64840	46605
1049	64921	46558
1050	65008	46514
1051	65089	46466
1052	65158	46409
1053	65248	46367
1054	65319	46311
1055	65408	46269
1056	65487	46218
1057	65574	46174
1058	65642	46116
1059	65709	46058
1060	65787	46008
1061	65868	45959
1062	65944	45906
1063	66025	45857
1064	66094	45800
1065	66172	45749
1066	66253	45700
1067	66326	45646
1068	66415	45602
1069	66501	45556
1070	66585	45509
1071	66675	45466
1072	66765	45423
1073	66846	45373
1074	66924	45321
1075	66986	45259
1076	67054	45200
1077	67131	45148
1078	67210	45097
1079	67296	45051
1080	67374	44999
1081	67470	44959
1082	67550	44908
1083	67620	44851
1084	67708	44806
1085	67793	44759
1086	67880	44712
1087	67963	44663
1088	68044	44613
1089	68122	44561
1090	68186	44499
1091	68257	44442
1092	68334	44389
1093	68402	44330
1094	68476	44275
1095	68561	44226
1096	68649	44181
1097	68736	44134
1098	68827	44089
1099	68927	44050
1100	68998	43993
1101	69075	43940
1102	69146	43882
1103	69213	43822
1104	69280	43762
1105	69351	43705
1106	69429	43651
1107	69521	43607
1108	69606	43559
1109	69689	43508
1110	69776	43461
1111	69871	43418
1112	69963	43373
1113	70059	43331
1114	70150	43285
1115	70241	43240
1116	70329	43192
1117	70420	43147
1118	70504	43096
1119	70579	43040
1120	70657	42987
1121	70741	42936
1122	70822	42884
1123	70898	42829
1124	70997	42787
1125	71071	42731
1126	71157	42681
1127	71253	42638
1128	71349	42594
1129	71419	42535
1130	71482	42472
1131	71551	42412
1132	71619	42352
1133	71731	42317
1134	71796	42255
1135	71878	42203
1136	71966	42154
1137	72061	42110
1138	72152	42062
1139	72239	42012
1140	72322	41960
1141	72416	41915
1142	72491	41858
1143	72579	41809
1144	72658	41754
1145	72734	41698
1146	72821	41648
1147	72915	41602
1148	72993	41547
1149	73071	41491
1150	73151	41437
1151	73240	41388
1152	73298	41321
1153	73381	41268
1154	73450	41208
1155	73529	41153
1156	73606	41097
1157	73678	41038
1158	73749	40979
1159	73817	40918
1160	73900	40864
1161	74003	40822
1162	74086	40769
1163	74162	40713
1164	74255	40665
1165	74331	40608
1166	74397	40545
1167	74469	40486
1168	74533	40422
1169	74597	40359
1170	74673	40302
1171	74746	40243
1172	74822	40185
1173	74896	40127
1174	74973	40070
1175	75043	40010
1176	75130	39958
1177	75218	39908
1178	75306	39856
1179	75388	39802
1180	75485	39756
1181	75569	39702
1182	75657	39651
1183	75742	39598
1184	75823	39543
1185	75900	39485
1186	75973	39427
1187	76037	39362
1188	76136	39316
1189	76206	39256
1190	76281	39197
1191	76362	39142
1192	76452	39091
1193	76534	39036
1194	76627	38986
1195	76704	38929
1196	76789	38876
1197	76870	38820
1198	76965	38771
1199	77056	38720
1200	77154	38673
1201	77246	38623
1202	77342	38574
1203	77436	38525
1204	77520	38470
1205	77603	38415
1206	77677	38356
1207	77760	38300
1208	77850	38249
1209	77932	38193
1210	78018	38139
1211	78088	38077
1212	78169	38021
1213	78247	37963
1214	78308	37897
1215	78376	37834
1216	78442	37770
1217	78515	37710
1218	78580	37646
1219	78650	37584
1220	78726	37525
1221	78798	37464
1222	78875	37406
1223	78944	37343
1224	79012	37280
1225	79084	37219
1226	79185	37172
1227	79260	37113
1228	79341	37056
1229	79418	36997
1230	79490	36936
1231	79561	36874
1232	79638	36815
1233	79708	36753
1234	79787	36695
1235	79864	36637
1236	79946	36580
1237	80035	36526
1238	80098	36461
1239	80182	36405
1240	80267	36349
1241	80356	36296
1242	80430	36235
1243	80496	36171
1244	80565	36108
1245	80632	36045
1246	80708	35985
1247	80791	35928
1248	80872	35871
1249	80948	35811
1250	81027	35753
1251	81114	35697
1252	81196	35640
1253	81280	35584
1254	81369	35530
1255	81441	35468
1256	81529	35413
1257	81601	35351
1258	81675	35291
1259	81776	35241
1260	81875	35191
1261	81957	35133
1262	82038	35075
1263	82115	35015
1264	82208	34962
1265	82296	34907
1266	82384	34852
1267	82454	34789
1268	82522	34725
1269	82606	34668
1270	82690	34611
1271	82763	34550
1272	82826	34483
1273	82890	34418
1274	82960	34355
1275	83036	34295
1276	83108	34232
1277	83197	34177
1278	83288	34123
1279	83381	34069
1280	83489	34021
1281	83588	33970
1282	83680	33915
1283	83757	33855
1284	83850	33801
1285	83930	33741
1286	84013	33683
1287	84099	33626
1288	84178	33566
1289	84252	33504
1290	84339	33448
1291	84424	33390
1292	84510	33333
1293	84590	33273
1294	84675	33216
1295	84758	33157
1296	84854	33104
1297	84928	33042
1298	84994	32977
1299	85056	32910
1300	85114	32841
1301	85188	32779
1302	85264	32718
1303	85338	32656
1304	85428	32600
1305	85507	32540
1306	85588	32480
1307	85694	32430
1308	85777	32371
1309	85853	32309
1310	85923	32245
1311	85999	32184
1312	86077	32123
1313	86161	32064
1314	86241	32004
1315	86322	31944
1316	86398	31882
1317	86477	31822
1318	86545	31757
1319	86612	31692
1320	86688	31630
1321	86781	31574
1322	86875	31519
1323	86971	31464
1324	87070	31411
1325	87158	31353
1326	87235	31291
1327	87317	31231
1328	87394	31170
1329	87471	31108
1330	87547	31046
1331	87630	30986
1332	87714	30927
1333	87791	30865
1334	87865	30802
1335	87950	30743
1336	88035	30684
1337	88105	30619
1338	88180	30556
1339	88265	30497
1340	88338	30434
1341	88408	30369
1342	88491	30309
1343	88571	30248
1344	88644	30185
1345	88725	30124
1346	88824	30069
1347	88899	30006
1348	88978	29945
1349	89053	29882
1350	89139	29823
1351	89220	29762
1352	89307	29703
1353	89393	29643
